,Site,Elev_km,Year,D13C_permil (Exact Gridpoint),D13C_permil (3 Gridsquare),Tair_degC,CO2_ppm,VPD_kPa,Obs,,,,,,,,
1,Maentwrog,0.04,1979,21.11515999,21.21505695,14.02134705,338.6653442,0.434389496,21.02567391,,,,,,,,
2,Maentwrog,0.04,1980,21.23091698,21.28994825,14.03266907,338.6653442,0.381288467,21.0610254,,,,,,,,
3,Maentwrog,0.04,1981,21.24030685,21.12133927,14.50799561,339.8708801,0.41127861,20.96498043,,,,,,,,
4,Maentwrog,0.04,1982,21.0144558,21.11802366,14.88650513,340.6261902,0.443207535,20.83791536,,,,,,,,
5,Maentwrog,0.04,1983,20.8884449,21.1480945,17.32952881,342.3104248,0.586511566,20.39479357,,,,,,,,
6,Maentwrog,0.04,1984,20.86655617,21.09058984,15.92401123,343.8530579,0.58275061,20.7377395,,,,,,,,
7,Maentwrog,0.04,1985,21.47690582,21.07046721,13.78115845,345.3340759,0.36105481,21.91586012,,,,,,,,
8,Maentwrog,0.04,1986,21.14351082,21.07020283,13.13693237,346.7363281,0.399749313,21.53753285,,,,,,,,
9,Maentwrog,0.04,1987,21.14329052,21.19741482,14.31689453,348.4817505,0.42030098,21.13217018,,,,,,,,
10,Maentwrog,0.04,1988,21.36068439,21.14550209,13.45877075,351.0187988,0.422641235,22.17622191,,,,,,,,
11,Maentwrog,0.04,1989,20.80811882,21.02444606,15.74336243,352.6577454,0.579831024,22.31050071,,,,,,,,
12,Maentwrog,0.04,1990,20.83013725,21.14161502,16.10266113,353.8455505,0.564677277,22.06278729,,,,,,,,
13,Maentwrog,0.04,1991,21.23709583,21.06197135,15.36920166,355.1500854,0.458375793,21.9961175,,,,,,,,
14,Maentwrog,0.04,1992,21.15375614,21.21642982,14.05267334,355.8583374,0.448769104,22.21977872,,,,,,,,
15,Maentwrog,0.04,1993,21.0849905,21.28724967,13.30207825,356.565155,0.411449753,22.11104729,,,,,,,,
16,Maentwrog,0.04,1994,20.91630745,21.23501905,14.67190552,358.0736389,0.527050476,21.91935562,,,,,,,,
17,Maentwrog,0.04,1995,20.55927753,21.3082553,17.41923523,359.8971252,0.695675171,21.38231802,,,,,,,,
18,Maentwrog,0.04,1996,21.15681648,21.21605682,14.66246033,361.6521912,0.525800964,21.59567917,,,,,,,,
19,Maentwrog,0.04,1997,21.41595554,21.39684984,15.91941833,362.7540283,0.503155869,21.55384512,,,,,,,,
20,Maentwrog,0.04,1998,21.14441586,21.33943409,14.02267456,365.3913879,0.427329788,22.22469031,,,,,,,,
21,Maentwrog,0.04,1999,20.97894001,21.18444475,15.22610474,367.4978638,0.496867538,21.23847208,,,,,,,,
22,Maentwrog,0.04,2000,21.43069839,21.13504876,14.67051697,368.7028198,0.452287964,21.62753396,,,,,,,,
23,Maentwrog,0.04,2001,21.43001652,21.12107012,14.34599304,370.2720642,0.467003525,21.63420157,,,,,,,,
24,Maentwrog,0.04,2002,21.54414177,21.26322322,13.98730469,372.2810974,0.403964066,21.29860818,,,,,,,,
25,Maentwrog,0.04,2003,21.10785484,21.25212415,16.03309631,374.8222046,0.526179153,20.36061866,,,,,,,,
26,Maentwrog,0.04,2004,21.4635601,21.39857366,15.05137634,376.6405029,0.441141983,20.99723068,,,,,,,,
27,Maentwrog,0.04,2005,21.09144878,21.24608517,15.16995239,378.6688843,0.467694916,20.66316592,,,,,,,,
28,Maentwrog,0.04,2006,21.04621124,21.33988063,16.5186615,380.7958679,0.575926559,20.84889487,,,,,,,,
29,Maentwrog,0.04,2007,21.4898901,21.29853556,14.02693176,382.5254822,0.417712265,21.28922483,,,,,,,,
30,Maentwrog,0.04,2008,21.80112934,21.20896064,14.93399048,384.6410522,0.394222931,21.41112755,,,,,,,,
31,Maentwrog,0.04,2009,21.71273518,21.07430426,14.80393982,386.1344604,0.422135498,20.34982497,,,,,,,,
32,Maentwrog,0.04,2010,21.45436573,21.12238492,14.47817993,388.4158936,0.447187225,21.18299879,,,,,,,,
33,Maentwrog,0.04,2011,21.08530045,21.20685546,13.99697876,390.2927551,0.45233754,20.84501889,,,,,,,,
34,Maentwrog,0.04,2012,21.70337009,21.23349169,14.61843872,392.3015747,0.403363586,20.83888433,,,,,,,,
35,Maentwrog,0.04,2013,21.15194798,21.03621515,16.21885681,395.0367432,0.523513901,20.91591002,,,,,,,,
36,Maentwrog,0.04,2014,21.04957485,21.13686477,15.26107788,396.9614868,0.524330124,20.5333561,,,,,,,,
37,Maentwrog,0.04,2015,21.27995014,21.30068239,14.42588806,399.2627258,0.427346512,20.94544727,,,,,,,,
38,Maentwrog,0.04,2016,21.59012318,21.36951394,15.38354492,402.696991,0.456227585,21.2336914,,,,,,,,
39,Alice.Holt,0.107,1979,20.90781307,21.13242298,17.25569153,338.6653442,0.62841687,20.50385604,,,,,,,,
40,Alice.Holt,0.107,1980,21.39757347,21.23531331,16.90745544,338.6653442,0.542703979,20.37836726,,,,,,,,
41,Alice.Holt,0.107,1981,21.13126087,21.12833977,17.90615845,339.8708801,0.642694153,20.44194918,,,,,,,,
42,Alice.Holt,0.107,1982,21.06641102,21.31532616,18.11869812,340.6261902,0.641672424,20.90448953,,,,,,,,
43,Alice.Holt,0.107,1983,20.92681789,21.13650439,20.91020203,342.3104248,0.927175964,20.18114713,,,,,,,,
44,Alice.Holt,0.107,1984,20.82914162,21.04577933,18.8621521,343.8530579,0.832518555,20.10835484,,,,,,,,
45,Alice.Holt,0.107,1985,21.10337257,20.99117088,17.09289551,345.3340759,0.603858032,20.93750643,,,,,,,,
46,Alice.Holt,0.107,1986,20.89404583,21.01552751,17.28968811,346.7363281,0.604603027,20.6961817,,,,,,,,
47,Alice.Holt,0.107,1987,20.91598797,21.12162749,17.71888733,348.4817505,0.644864105,20.45538689,,,,,,,,
48,Alice.Holt,0.107,1988,21.23357105,21.08835072,16.72674561,351.0187988,0.600837036,20.81339959,,,,,,,,
49,Alice.Holt,0.107,1989,20.40878963,20.96919918,19.71037292,352.6577454,0.953467651,19.74407729,,,,,,,,
50,Alice.Holt,0.107,1990,20.3771801,21.00313388,19.90036011,353.8455505,0.999269958,19.52442608,,,,,,,,
51,Alice.Holt,0.107,1991,21.0156517,20.96411271,18.99343872,355.1500854,0.732451111,20.05901525,,,,,,,,
52,Alice.Holt,0.107,1992,21.3204174,21.13985284,18.00497437,355.8583374,0.596646576,19.95394453,,,,,,,,
53,Alice.Holt,0.107,1993,20.79453468,21.06550651,17.04470825,356.565155,0.641854553,20.14271613,,,,,,,,
54,Alice.Holt,0.107,1994,20.84891319,21.04112604,19.45013428,358.0736389,0.740918793,19.33627864,,,,,,,,
55,Alice.Holt,0.107,1995,20.35262489,21.28863176,21.54969788,359.8971252,1.056355255,19.13811701,,,,,,,,
56,Alice.Holt,0.107,1996,20.86298084,21.17459499,18.43138123,361.6521912,0.848986511,19.54718765,,,,,,,,
57,Alice.Holt,0.107,1997,21.52931023,21.25651921,19.77015686,362.7540283,0.826585144,20.22934129,,,,,,,,
58,Alice.Holt,0.107,1998,20.78723145,21.062644,17.6558075,365.3913879,0.756520782,19.68503937,,,,,,,,
59,Alice.Holt,0.107,1999,21.06984711,21.01982975,19.0879364,367.4978638,0.83084494,19.90581752,,,,,,,,
60,Alice.Holt,0.107,2000,21.16008186,20.9893873,18.01783752,368.7028198,0.718233002,20.07363074,,,,,,,,
61,Alice.Holt,0.107,2001,21.15274239,21.04402627,18.64099121,370.2720642,0.733865112,19.35052924,,,,,,,,
62,Alice.Holt,0.107,2002,21.35735893,21.20612484,18.07354736,372.2810974,0.669872528,19.87538044,,,,,,,,
63,Alice.Holt,0.107,2003,20.6821394,21.25683763,19.93333435,374.8222046,0.898159149,19.67698492,,,,,,,,
64,Alice.Holt,0.107,2004,21.21745014,21.28429932,18.62998962,376.6405029,0.731634583,19.86652819,,,,,,,,
65,Alice.Holt,0.107,2005,21.01666737,21.06807613,18.54273987,378.6688843,0.758575562,19.46857172,,,,,,,,
66,Alice.Holt,0.107,2006,20.76553154,21.16654788,20.11329651,380.7958679,0.895027191,19.18630343,,,,,,,,
67,Alice.Holt,0.107,2007,21.20645809,21.14315118,17.19032288,382.5254822,0.646481934,20.07776018,,,,,,,,
68,Alice.Holt,0.107,2008,21.45786953,21.15975465,17.76898193,384.6410522,0.757812561,20.0886658,,,,,,,,
69,Alice.Holt,0.107,2009,21.31592941,20.93300003,18.43223572,386.1344604,0.783833954,19.63788158,,,,,,,,
70,Alice.Holt,0.107,2010,21.07644463,20.99043348,18.67539978,388.4158936,0.796501709,19.77459227,,,,,,,,
71,Alice.Holt,0.107,2011,20.99480438,21.0784928,17.20080566,390.2927551,0.743872559,19.83792345,,,,,,,,
72,Alice.Holt,0.107,2012,21.47690487,21.09718376,17.86755371,392.3015747,0.718156799,19.83853551,,,,,,,,
73,Alice.Holt,0.107,2013,20.85378838,20.77434254,19.90794373,395.0367432,0.940320251,19.05309998,,,,,,,,
74,Alice.Holt,0.107,2014,20.97035789,20.79005782,18.79714966,396.9614868,0.778264252,19.08510704,,,,,,,,
75,Alice.Holt,0.107,2015,21.25410652,21.01815912,18.37504578,399.2627258,0.805087769,19.73528595,,,,,,,,
76,Alice.Holt,0.107,2016,21.09556675,21.16284921,19.07936096,402.696991,0.800785553,NA,,,,,,,,
77,Dartmoor,0.217,1979,21.3089304,21.41142356,16.43139648,338.6653442,0.480980011,21.09134668,,,,,,,,
78,Dartmoor,0.217,1980,21.42451382,21.40716517,15.80929565,338.6653442,0.437588867,20.70705886,,,,,,,,
79,Dartmoor,0.217,1981,21.34648228,21.35485601,17.20959473,339.8708801,0.490990265,20.20975987,,,,,,,,
80,Dartmoor,0.217,1982,21.22663879,21.37406766,16.67720032,340.6261902,0.494609161,20.37941465,,,,,,,,
81,Dartmoor,0.217,1983,20.94380093,21.29253376,20.56942749,342.3104248,0.774506927,19.52284046,,,,,,,,
82,Dartmoor,0.217,1984,21.14864063,21.2787993,18.41964722,343.8530579,0.634182037,19.70490226,,,,,,,,
83,Dartmoor,0.217,1985,21.45083237,21.18411458,16.09107971,345.3340759,0.481730011,20.40130773,,,,,,,,
84,Dartmoor,0.217,1986,21.43479443,21.20828676,15.4611969,346.7363281,0.422813751,20.64228834,,,,,,,,
85,Dartmoor,0.217,1987,21.15167713,21.31325185,17.19046021,348.4817505,0.524881622,20.42397395,,,,,,,,
86,Dartmoor,0.217,1988,21.48351288,21.31713498,15.18121338,351.0187988,0.457073837,20.5033194,,,,,,,,
87,Dartmoor,0.217,1989,20.81901741,21.18935561,19.14854431,352.6577454,0.68799823,19.89069193,,,,,,,,
88,Dartmoor,0.217,1990,20.94324875,21.12753475,18.51673889,353.8455505,0.732430481,20.20292592,,,,,,,,
89,Dartmoor,0.217,1991,21.45978355,21.15382421,17.25511169,355.1500854,0.528812164,20.9394075,,,,,,,,
90,Dartmoor,0.217,1992,21.5223856,21.30253208,16.46681213,355.8583374,0.478903412,20.68506344,,,,,,,,
91,Dartmoor,0.217,1993,21.23745346,21.12714922,15.73606873,356.565155,0.504414307,20.31225062,,,,,,,,
92,Dartmoor,0.217,1994,21.31258774,21.31516314,17.25038147,358.0736389,0.598943665,20.36611492,,,,,,,,
93,Dartmoor,0.217,1995,20.68752575,21.49415672,20.05662537,359.8971252,0.800237671,19.74989361,,,,,,,,
94,Dartmoor,0.217,1996,21.08756351,21.41623116,17.31530762,361.6521912,0.647291992,20.66551445,,,,,,,,
95,Dartmoor,0.217,1997,21.74903297,21.58643007,18.32330322,362.7540283,0.595258881,20.24487029,,,,,,,,
96,Dartmoor,0.217,1998,21.2677002,21.42461336,16.09654236,365.3913879,0.530222672,20.62114906,,,,,,,,
97,Dartmoor,0.217,1999,21.31054688,21.33029997,17.93556213,367.4978638,0.592400146,20.06992426,,,,,,,,
98,Dartmoor,0.217,2000,21.45724773,21.26913512,17.10391235,368.7028198,0.544053207,20.46757937,,,,,,,,
99,Dartmoor,0.217,2001,21.43695927,21.29487777,17.01148987,370.2720642,0.537492065,20.21169652,,,,,,,,
100,Dartmoor,0.217,2002,21.48142624,21.41467166,16.15193176,372.2810974,0.474687363,19.53335553,,,,,,,,
101,Dartmoor,0.217,2003,21.14972973,21.39718139,18.53401184,374.8222046,0.619082092,19.88577608,,,,,,,,
102,Dartmoor,0.217,2004,21.51127815,21.4536078,17.04266357,376.6405029,0.516022797,20.27513204,,,,,,,,
103,Dartmoor,0.217,2005,21.22370815,21.24796784,17.40641785,378.6688843,0.569381073,19.82268192,,,,,,,,
104,Dartmoor,0.217,2006,21.08610725,21.32464337,18.66439819,380.7958679,0.678436066,19.73772826,,,,,,,,
105,Dartmoor,0.217,2007,21.44613838,21.33550739,15.8527832,382.5254822,0.490122925,20.18563194,,,,,,,,
106,Dartmoor,0.217,2008,21.84223461,21.39138925,16.8235321,384.6410522,0.504410202,20.41978258,,,,,,,,
107,Dartmoor,0.217,2009,21.67186356,21.14910662,16.76330566,386.1344604,0.506046173,20.13784117,,,,,,,,
108,Dartmoor,0.217,2010,21.54769135,21.06396425,17.03526306,388.4158936,0.544605988,20.51260977,,,,,,,,
109,Dartmoor,0.217,2011,21.19353104,21.19177163,16.1837616,390.2927551,0.531865204,19.89686975,,,,,,,,
110,Dartmoor,0.217,2012,21.75510883,21.2914958,16.68778992,392.3015747,0.494328018,20.23634042,,,,,,,,
111,Dartmoor,0.217,2013,21.13264942,21.14377987,18.65464783,395.0367432,0.712694794,19.78076374,,,,,,,,
112,Dartmoor,0.217,2014,21.08318329,21.1030966,17.38980103,396.9614868,0.611585846,19.93235149,,,,,,,,
113,Dartmoor,0.217,2015,21.37194347,21.31044543,16.79177856,399.2627258,0.518204941,19.67733047,,,,,,,,
114,Dartmoor,0.217,2016,21.41707611,21.46780312,17.83718872,402.696991,0.578047302,NA,,,,,,,,
115,Sandringham.Park,0.038,1979,20.50132275,20.86041045,16.27903748,338.6653442,0.499459976,21.10596732,,,,,,,,
116,Sandringham.Park,0.038,1980,20.91688728,20.91360855,15.55682373,338.6653442,0.461471497,21.34652522,,,,,,,,
117,Sandringham.Park,0.038,1981,20.64937878,20.7936126,16.95861816,339.8708801,0.529338669,21.05076741,,,,,,,,
118,Sandringham.Park,0.038,1982,20.7963295,20.9113096,16.822052,340.6261902,0.526300354,21.14193202,,,,,,,,
119,Sandringham.Park,0.038,1983,20.6942625,20.87075675,19.17895508,342.3104248,0.754306641,20.16213754,,,,,,,,
120,Sandringham.Park,0.038,1984,20.68957043,20.80451095,17.26443481,343.8530579,0.67823761,19.78985725,,,,,,,,
121,Sandringham.Park,0.038,1985,20.73479939,20.78497541,15.73660278,345.3340759,0.489513214,20.43930288,,,,,,,,
122,Sandringham.Park,0.038,1986,20.45509148,20.72942257,15.65487671,346.7363281,0.518398621,20.27195171,,,,,,,,
123,Sandringham.Park,0.038,1987,20.82417202,20.81037021,16.10365295,348.4817505,0.458295151,20.39798452,,,,,,,,
124,Sandringham.Park,0.038,1988,20.70907021,20.89146042,15.80249023,351.0187988,0.489037003,21.12652321,,,,,,,,
125,Sandringham.Park,0.038,1989,20.19762325,20.72866392,18.14480591,352.6577454,0.795047821,20.19495743,,,,,,,,
126,Sandringham.Park,0.038,1990,20.10811901,20.75939155,19.02775574,353.8455505,0.872402618,19.82034627,,,,,,,,
127,Sandringham.Park,0.038,1991,20.5131712,20.8502804,18.79801941,355.1500854,0.69271994,20.00267353,,,,,,,,
128,Sandringham.Park,0.038,1992,20.73552513,20.83177638,16.74516296,355.8583374,0.569526962,20.39971509,,,,,,,,
129,Sandringham.Park,0.038,1993,20.59076595,20.77206099,15.17379761,356.565155,0.559319244,20.43075363,,,,,,,,
130,Sandringham.Park,0.038,1994,20.38254833,20.73625362,18.26719666,358.0736389,0.723850983,19.97799602,,,,,,,,
131,Sandringham.Park,0.038,1995,20.10336685,20.91519177,20.62095642,359.8971252,0.944337799,19.63518196,,,,,,,,
132,Sandringham.Park,0.038,1996,20.45186329,20.92977166,17.58132935,361.6521912,0.717295441,19.49781216,,,,,,,,
133,Sandringham.Park,0.038,1997,21.00936413,20.91354334,18.44618225,362.7540283,0.722265656,20.31494029,,,,,,,,
134,Sandringham.Park,0.038,1998,20.47301865,20.72742927,16.16299438,365.3913879,0.618724396,20.93308026,,,,,,,,
135,Sandringham.Park,0.038,1999,20.70957184,20.69224811,17.62181091,367.4978638,0.698569641,20.825482,,,,,,,,
136,Sandringham.Park,0.038,2000,20.86754894,20.65978527,16.26541138,368.7028198,0.56402301,21.07247402,,,,,,,,
137,Sandringham.Park,0.038,2001,20.99553585,20.75032806,17.71533203,370.2720642,0.647803101,21.43103937,,,,,,,,
138,Sandringham.Park,0.038,2002,21.29522896,20.95420408,16.92631531,372.2810974,0.585169678,21.11646349,,,,,,,,
139,Sandringham.Park,0.038,2003,20.52014256,21.09519517,18.68955994,374.8222046,0.777206879,21.02027704,,,,,,,,
140,Sandringham.Park,0.038,2004,21.12668133,21.07458806,17.44773865,376.6405029,0.606625977,21.18689179,,,,,,,,
141,Sandringham.Park,0.038,2005,20.70299911,20.87190402,17.33677673,378.6688843,0.608189514,21.52039776,,,,,,,,
142,Sandringham.Park,0.038,2006,20.64619446,20.84344625,18.92852783,380.7958679,0.800012207,20.5945867,,,,,,,,
143,Sandringham.Park,0.038,2007,20.93563461,20.93099511,16.40037537,382.5254822,0.578510376,21.13689746,,,,,,,,
144,Sandringham.Park,0.038,2008,21.03967285,20.93898475,17.10079956,384.6410522,0.568919006,21.0858154,,,,,,,,
145,Sandringham.Park,0.038,2009,20.76663017,20.71113026,17.68351746,386.1344604,0.677166534,20.72765404,,,,,,,,
146,Sandringham.Park,0.038,2010,20.6774292,20.86353028,17.64579773,388.4158936,0.65540033,20.64859028,,,,,,,,
147,Sandringham.Park,0.038,2011,20.59905148,20.92672348,16.5085144,390.2927551,0.620341614,21.06166855,,,,,,,,
